cuda
Initialize dataset with 5597742 characters, 113 unique.
embed_dim: 32
[2020-11-29 18:23] Train Step 0049/1000000, Batch Size = 64,                     Examples/Sec = 5456.67, Accuracy = 0.29, Loss = 2.759
[2020-11-29 18:25] Train Step 10049/1000000, Batch Size = 64,                     Examples/Sec = 5448.36, Accuracy = 0.54, Loss = 1.501
[2020-11-29 18:25] Train Step 10099/1000000, Batch Size = 64,                     Examples/Sec = 5410.04, Accuracy = 0.56, Loss = 1.396
[2020-11-29 18:25] Train Step 10149/1000000, Batch Size = 64,                     Examples/Sec = 5311.66, Accuracy = 0.56, Loss = 1.430
[2020-11-29 18:25] Train Step 10199/1000000, Batch Size = 64,                     Examples/Sec = 5627.93, Accuracy = 0.53, Loss = 1.520
[2020-11-29 18:25] Train Step 10249/1000000, Batch Size = 64,                     Examples/Sec = 5063.86, Accuracy = 0.55, Loss = 1.492
[2020-11-29 18:25] Train Step 10299/1000000, Batch Size = 64,                     Examples/Sec = 5877.72, Accuracy = 0.55, Loss = 1.437
[2020-11-29 18:25] Train Step 10349/1000000, Batch Size = 64,                     Examples/Sec = 5345.83, Accuracy = 0.56, Loss = 1.463
[2020-11-29 18:25] Train Step 10399/1000000, Batch Size = 64,                     Examples/Sec = 5293.75, Accuracy = 0.55, Loss = 1.471
[2020-11-29 18:25] Train Step 10449/1000000, Batch Size = 64,                     Examples/Sec = 4566.01, Accuracy = 0.55, Loss = 1.434
[2020-11-29 18:25] Train Step 10499/1000000, Batch Size = 64,                     Examples/Sec = 5446.37, Accuracy = 0.58, Loss = 1.412
[2020-11-29 18:25] Train Step 10549/1000000, Batch Size = 64,                     Examples/Sec = 5500.05, Accuracy = 0.56, Loss = 1.433
[2020-11-29 18:26] Train Step 10599/1000000, Batch Size = 64,                     Examples/Sec = 5496.78, Accuracy = 0.55, Loss = 1.498
[2020-11-29 18:26] Train Step 10649/1000000, Batch Size = 64,                     Examples/Sec = 5257.46, Accuracy = 0.57, Loss = 1.436
[2020-11-29 18:26] Train Step 10699/1000000, Batch Size = 64,                     Examples/Sec = 5105.47, Accuracy = 0.55, Loss = 1.450
slurmstepd: error: *** STEP 6940346.0 ON r30n6 CANCELLED AT 2020-11-29T18:26:02 ***
srun: Job step aborted: Waiting up to 32 seconds for job step to finish.
slurmstepd: error: *** JOB 6940346 ON r30n6 CANCELLED AT 2020-11-29T18:26:02 ***
